,Taxon,P-value,Test,Max Log2 Fold Change,Mean in Mild,Mean in Asymptomatic,Mean in Severe,Max Fold Change Groups,Fold Change,Adjusted P-value,Variable
5,Bacteria: Francisella sp,0.044572647214474695,Kruskal-Wallis,2.5788283150453526,0.8605897435897436,1.1660333333333335,5.14168,Mild vs Severe,5.974542797971242,0.5418776032602066,Symptoms
11,Bacteria: Corynebacterium propinquum,0.08336578511695487,Kruskal-Wallis,19.530969737488334,0.0,7.575427777777778,0.0,Mild vs Asymptomatic,757543.7777777782,0.5418776032602066,Symptoms
4,Bacteria: Dolosigranulum pigrum,0.3047921979736197,Kruskal-Wallis,0.8273455018434056,6.652928205128205,9.762377777777779,11.80508,Mild vs Severe,1.7744175033672225,0.6978967809845691,Symptoms
0,Bacteria: Corynebacterium pseudodiphtheriticum,0.483159309912394,Kruskal-Wallis,0.8774676092545134,3.6050512820512823,6.324283333333334,6.6230199999999995,Mild vs Severe,1.8371476881612094,0.6978967809845691,Symptoms
6,Bacteria: Moraxella nonliquefaciens,0.4432006089912115,Kruskal-Wallis,3.111153500385958,23.720094871794874,15.667099999999998,2.74514,Mild vs Severe,8.640731789444976,0.6978967809845691,Symptoms
10,Bacteria: Moraxella catarrhalis,0.4390268868662458,Kruskal-Wallis,19.484868018514984,7.337179487179487,4.328055555555555,0.0,Mild vs Severe,733718.9487179489,0.6978967809845691,Symptoms
8,Bacteria: Moraxella lincolnii,0.3225810118928345,Kruskal-Wallis,20.382015290421258,13.66462307692308,7.660322222222224,0.0,Mild vs Severe,1366463.3076923087,0.6978967809845691,Symptoms
3,Bacteria: Cutibacterium acnes,0.3101500723098748,Kruskal-Wallis,0.7653835443163466,12.298046153846153,20.904494444444445,19.01578,Mild vs Asymptomatic,1.6998218403732586,0.6978967809845691,Symptoms
12,Bacteria: Streptococcus sp,0.42351399484693153,Kruskal-Wallis,3.962168385890277,0.35643846153846154,5.555555555555555,3.9297400000000002,Mild vs Asymptomatic,15.585887316155796,0.6978967809845691,Symptoms
9,Bacteria: Paracoccus marcusii,0.6515517989055821,Kruskal-Wallis,2.0430492011248313,1.2057025641025643,2.2258833333333334,4.96892,Mild vs Severe,4.1211563584381095,0.8470173385772567,Symptoms
2,Bacteria: Streptococcus pneumoniae,0.7188805974770431,Kruskal-Wallis,2.5947065763274493,7.733184615384616,3.8770944444444435,1.28018,Mild vs Severe,6.040661632558147,0.8495861606546874,Symptoms
7,Bacteria: Streptococcus mitis,0.7899322919494578,Kruskal-Wallis,16.71826494602641,1.0781897435897436,0.09358888888888889,0.0,Mild vs Severe,107819.97435897432,0.8557599829452459,Symptoms
1,Bacteria: Haemophilus influenzae,0.9335419426782675,Kruskal-Wallis,0.7754292172428485,8.06649230769231,7.1785,12.28744,Asymptomatic vs Severe,1.7116992244908764,0.9335419426782675,Symptoms
