,Species,Test,Statistic,P-value,Mean Difference,Fold Change,Adjusted P-value
4,Streptococcus_pneumoniae,Kruskal-Wallis,7.917211328355936,0.019089713214353914,11.216512269230769,3.230981856479128,0.43906340393014004
1,Dolosigranulum_pigrum,Kruskal-Wallis,3.8305347600930797,0.14730244158652614,8.470015392156862,1.6361746015946204,0.8954872822660064
5,Cutibacterium_acnes,Kruskal-Wallis,0.9871508007866945,0.6104399206221209,2.6923703063725495,4.434109725797851,0.8954872822660064
3,Moraxella_catarrhalis,Kruskal-Wallis,0.9197385141552713,0.631366186771306,3.5821593333333333,2.1299852096248046,0.8954872822660064
6,Corynebacterium_pseudodiphtheriticum,Kruskal-Wallis,1.672728608689026,0.4332829482004311,1.9933852194570134,1.428236340565158,0.8954872822660064
7,Corynebacterium_accolens,Kruskal-Wallis,3.341993464053634,0.18805952723776181,0.17620764705882352,1762076470.5882351,0.8954872822660064
10,Staphylococcus_aureus,Kruskal-Wallis,1.1795254023207455,0.5544588415644722,2.8744105269607845,34.12610424936206,0.8954872822660064
8,Haemophilus_influenzae,Kruskal-Wallis,2.1046239890069414,0.34912962950267135,6.256551115384616,1.743965089898492,0.8954872822660064
14,Streptococcus_mitis,Kruskal-Wallis,2.270027662795666,0.32141767564790397,1.8901337895927601,5.476436021297822,0.8954872822660064
13,Haemophilus_parainfluenzae,Kruskal-Wallis,0.7266088486680284,0.6953747122905067,0.39173852941176474,3917385294.117647,0.8954872822660064
11,GGB6646_SGB9384,Kruskal-Wallis,0.6028849923391972,0.7397503636110487,0.8256521987179488,186.94024885590858,0.8954872822660064
12,Rothia_mucilaginosa,Kruskal-Wallis,2.1898449632654584,0.3345655409178922,0.4415807352941177,4415807352.941176,0.8954872822660064
15,Haemophilus_haemolyticus,Kruskal-Wallis,0.7266088486680284,0.6953747122905067,0.13165426470588235,1316542647.0588233,0.8954872822660064
18,Paracoccus_haeundaensis,Kruskal-Wallis,1.229316448800104,0.5408257047555483,0.27736895833333336,2773689583.3333335,0.8954872822660064
17,Corynebacterium_propinquum,Kruskal-Wallis,1.4560355298973104,0.48286519437964914,3.455830366515837,3.918771475223429,0.8954872822660064
16,Streptococcus_thermophilus,Kruskal-Wallis,0.678468545968901,0.7123155532498315,2.925840637254902,191.7845863006973,0.8954872822660064
22,Bifidobacterium_longum,Kruskal-Wallis,1.2169934640534796,0.5441682852780882,1.4705882352941178,14705882352.941177,0.8954872822660064
21,Bifidobacterium_breve,Kruskal-Wallis,1.2169934640534796,0.5441682852780882,1.4705882352941178,14705882352.941177,0.8954872822660064
20,Streptococcus_peroris,Kruskal-Wallis,1.6398006638064477,0.4404755536784011,0.17795553846153844,1779555384.6153843,0.8954872822660064
19,Streptococcus_salivarius,Kruskal-Wallis,0.4233098964278558,0.8092438804437696,0.26248830448717947,23.699645980769866,0.9306304625103351
2,Moraxella_nonliquefaciens,Kruskal-Wallis,0.32231475842297813,0.8511581059741935,3.973945096153848,1.2226993927838423,0.9322207827336405
0,Moraxella_lincolnii,Kruskal-Wallis,0.09345493659256447,0.9543474520892703,1.0573495343137242,1.073831929999497,0.9543474520892703
9,Moraxella_lacunata,Kruskal-Wallis,0.1402462409743705,0.9322790301912207,0.8349536153846149,1.3624007089836054,0.9543474520892703
