,Shannon,Simpson,Observed
3001427175-DNA,0.9844022620439393,0.5484628340227613,5
3001231121-DNA,0.0,0.0,1
3001427154-DNA,0.8078213206248769,0.5005221292501598,3
3001348320-DNA,0.10666386984250222,0.043506244092780255,2
3001099226-DNA,0.636762349384626,0.44468316522552,2
3000864467-DNA,0.7401450567961555,0.48320148940947305,4
3001328927-DNA,0.0,0.0,1
3001231137-DNA,0.6391145815004591,0.42516727342501026,3
3000852208-DNA,0.0,0.0,1
3001439971-DNA,0.0,0.0,1
3000863616-DNA,0.8971297607269872,0.47947047983993984,5
3000881385-DNA,0.2721904496035802,0.14269405572608007,2
3001425833-DNA,0.0,0.0,1
3001063041-DNA,0.26688350095415847,0.12086658818298013,3
3001060880-DNA,0.7878021819433236,0.4721634845413599,3
3001102443-DNA,1.1739429173497915,0.63662262391014,5
3001384568-DNA,0.9461619842761974,0.57754595617762,3
3000886283-DNA,0.4576971193274609,0.26666679158111994,3
3001097056-DNA,0.0,0.0,1
3001172132-DNA,1.057507914143024,0.6414782753089799,3
3001212748-DNA,1.2184573158011365,0.60596537115908,6
3001195247-DNA,1.2324076312762093,0.68605824057166,4
3001048330-DNA,0.621706862342756,0.43027785558912,2
3001322433-DNA,0.5967995679110579,0.40678888791552015,2
3000886263-DNA,0.4798379699641028,0.24732419892496016,6
3001226011-DNA,1.1705317195081775,0.6575395554829,4
3000891783-DNA,0.0,0.0,1
3001053907-DNA,0.5826060125704016,0.28765716850129075,4
3001369346-DNA,0.7991681725090344,0.44160790021030005,4
3001448375-DNA,0.5219594373274694,0.33882985519998,2
3001421342-DNA,0.7344811331018088,0.49877796057502,3
3001370799-DNA,1.0211864101233905,0.61160103776418,3
3000864431-DNA,0.6931353551562118,0.49998817464288003,2
3001344083-DNA,0.0,0.0,1
3000885600-DNA,0.5381414300710253,0.35318606731231983,2
3001427166-DNA,0.7911512084967998,0.50847647528134,3
3001070218-DNA,0.0,0.0,1
3001369378-DNA,0.0,0.0,1
3001177411-DNA,0.8973872188223466,0.4821140723631008,4
3001347849-DNA,0.9149773634997266,0.5633972390207622,4
3001180268-DNA,0.0,0.0,1
3001323185-DNA,0.0,0.0,1
3000881401-DNA,0.2909894988492621,0.15567233113661993,2
3001368261-DNA,0.0,0.0,1
3001215710-DNA,0.0,0.0,1
3001348312-DNA,0.0,0.0,1
3001351708-DNA,0.7234572330297109,0.4460402042929148,3
3001184953-DNA,1.1382199080845872,0.6382381009970337,4
3000879703-DNA,0.0,0.0,1
3001336332-DNA,0.2917117162346648,0.15617719423200005,2
3001046458-DNA,0.0,0.0,1
3001172140-DNA,0.4996342905395955,0.3193353074968801,2
3001332927-DNA,0.5761024413269156,0.38759847502200007,2
3000874503-DNA,0.34422554993783816,0.16363875245802006,3
3001175224-DNA,1.0208579056619953,0.49787244896408,5
3001352795-DNA,0.22648297742384033,0.11249017804799988,2
3001326503-DNA,0.7172848413562405,0.41430428509000006,4
3001357258-DNA,0.0,0.0,1
3001328911-DNA,0.14699288145621633,0.06491502837949992,2
3001212756-DNA,1.3652600141792015,0.6822290411291413,6
3001421330-DNA,0.1474357316279338,0.06516107387448011,2
3001351690-DNA,0.0,0.0,1
3001048314-DNA,0.8107762624879065,0.47342980011537994,3
3001212764-DNA,0.0,0.0,1
3001065176-DNA,0.7759232689099567,0.44546376313126,3
3000886299-DNA,0.41410809205396404,0.19667433181207983,3
3000858131-DNA,0.417028027278433,0.2504273206975801,2
3001101039-DNA,0.4991345465059853,0.3189030939574201,2
3001361935-DNA,0.0,0.0,1
3000858866-DNA,0.9716357538206882,0.59375690306574,3
3001352807-DNA,0.0,0.0,1
3000879733-DNA,0.8367782260874815,0.48712065372981994,3
3001076925-DNA,0.0,0.0,1
3001168541-DNA,0.0,0.0,1
3001359894-DNA,0.0,0.0,1
3001087062-DNA,0.7304796303005598,0.4677603759058906,3
3001324264-DNA,0.6716184204514698,0.4786261849875,2
3001097072-DNA,0.0,0.0,1
3001172810-DNA,0.5781410428201661,0.38947535139127987,2
3001421314-DNA,0.14301682660037635,0.06271619121888006,2
3001439979-DNA,0.3858434835288523,0.20134391098006,3
3001221246-DNA,1.3674951485003404,0.7411257816680801,4
3001168525-DNA,1.0404436541671052,0.43778980395700395,12
3001425825-DNA,0.5864848835428178,0.3971876490430202,2
3001378114-DNA,0.6924438681615204,0.49929685249982003,2
3001071356-DNA,0.892326058273667,0.5508189716753888,4
3001206694-DNA,0.6925804814506404,0.49943340794808,2
