Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001102451-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/679/005/GCF_001679005.1_genomic.fna.gz	26.6380	28.4842	98.52	0.464	98.27-98.81	0.464	0.41-0.50	1	1.274	2295/9834	95.41	0	NZ_LXTW01000001.1 Moraxella nonliquefaciens strain CCUG 348 contig_1, whole genome shotgun sequence
trimmed_read1_3001102451-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/808/955/GCF_001808955.1_genomic.fna.gz	12.8255	13.9099	96.91	0.223	96.34-97.35	0.223	0.19-0.26	1	1.122	757/10004	92.01	5	NZ_KV795235.1 Rothia sp. HMSC078H08 Scaffold0, whole genome shotgun sequence
trimmed_read1_3001102451-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/688/415/GCF_000688415.1_genomic.fna.gz	8.4613	8.9729	97.58	0.147	96.68-98.21	0.147	0.12-0.19	1	1.084	629/9809	91.52	0	NZ_JIAH01000001.1 Corynebacterium pseudodiphtheriticum DSM 44287 O146DRAFT_scaffold00010.10_C, whole genome shotgun sequence
trimmed_read1_3001102451-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/245/815/GCF_000245815.1_genomic.fna.gz	8.0927	7.0680	96.17	0.141	94.87-97.27	0.141	0.09-0.21	1	1.078	306/7821	90.07	5	NZ_JH601103.1 Dolosigranulum pigrum ATCC 51524 supercont1.1, whole genome shotgun sequence
trimmed_read1_3001102451-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/423/025/GCF_019423025.1_genomic.fna.gz	7.4440	6.9320	97.84	0.130	96.69-98.65	0.130	0.10-0.19	1	1.070	528/8539	91.41	0	NZ_JAHZCD010000001.1 MAG: Haemophilus sp. isolate HRGM_Genome_2181 HRGM_Genome_2181_1, whole genome shotgun sequence
trimmed_read1_3001102451-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/943/913/655/GCA_943913655.1_genomic.fna.gz	7.3351	4.9765	96.64	0.128	95.41-98.16	0.128	0.08-0.19	1	1.799	259/5936	90.39	7	CALTZA010000001.1 MAG: uncultured Francisella sp. isolate G79AyWT62A_bin.4.MAG genome assembly, contig: NODE_9_length_210779_cov_13.887189, whole genome shotgun sequence
trimmed_read1_3001102451-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/785/515/GCF_000785515.1_genomic.fna.gz	6.1226	6.2857	95.89	0.107	94.58-97.31	0.107	0.06-0.17	1	1.051	257/9341	89.06	14	NZ_CP009913.1 Streptococcus salivarius strain NCTC 8618 chromosome, complete genome
trimmed_read1_3001102451-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/015/553/625/GCF_015553625.1_genomic.fna.gz	5.8370	5.5263	97.14	0.102	95.76-98.44	0.102	0.06-0.15	1	1.115	340/8643	90.09	14	NZ_JADNGY010000010.1 Streptococcus australis strain D40t1_170626_G7 NODE_10_length_80741_cov_28.857, whole genome shotgun sequence
trimmed_read1_3001102451-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/457/635/GCF_001457635.1_genomic.fna.gz	5.7618	5.7047	97.55	0.100	96.27-98.86	0.100	0.06-0.16	1	1.058	379/8578	90.43	0	NZ_LN831051.1 Streptococcus pneumoniae strain NCTC7465 chromosome 1, complete sequence
trimmed_read1_3001102451-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/916/438/765/GCA_916438765.1_genomic.fna.gz	3.7473	3.0582	95.07	0.065	92.12-95.50	0.065	0.06-0.17	1	1.032	95/7219	86.96	4	CAKAHB010000001.1 MAG TPA_asm: uncultured Granulicatella sp. isolate DRR214961_bin.31_metaWRAP_v1.1_MAG genome assembly, contig: BNJU01000113, whole genome shotgun sequence
trimmed_read1_3001102451-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/030/305/GCF_003030305.1_genomic.fna.gz	2.9466	3.4481	98.77	0.051	96.86-100.63	0.051	0.02-0.09	1	1.025	360/10561	89.67	0	NZ_CP023676.1 Cutibacterium acnes strain ATCC 6919 chromosome, complete genome
trimmed_read1_3001102451-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/644/365/GCF_030644365.1_genomic.fna.gz	2.5921	3.0803	96.07	0.045	93.16-96.49	0.045	0.04-0.11	1	1.022	136/10693	86.87	2	NZ_CP130058.1 Schaalia sp. HMT-172 strain F0311 chromosome, complete genome
trimmed_read1_3001102451-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/024/205/705/GCF_024205705.1_genomic.fna.gz	2.1959	2.5532	97.30	0.038	94.64-97.68	0.038	0.03-0.09	1	1.019	160/9958	87.52	1	NZ_CP073115.1 Neisseria subflava strain TT0077 chromosome, complete genome
