Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001184953-DNA.fastq.gz	imgvr_reps.fna	14.5751	14.5027	98.65	1.586	98.13-99.64	1.586	0.84-1.86	2	1.929	70/134	97.93	0	IMGVR_UViG_2859234005_000001|2859234005|2859234005|777945-810308
trimmed_read1_3001184953-DNA.fastq.gz	imgvr_reps.fna	13.1266	13.2443	95.91	1.429	95.04-97.38	1.429	0.53-1.88	2	1.839	31/149	95.06	26	IMGVR_UViG_2937907864_000002|2937907864|2937907926|108018-140834
trimmed_read1_3001184953-DNA.fastq.gz	imgvr_reps.fna	12.5739	11.8025	97.12	1.368	96.41-98.37	1.368	0.67-1.83	2	1.756	41/136	96.21	6	IMGVR_UViG_2937905882_000001|2937905882|2937905898
trimmed_read1_3001184953-DNA.fastq.gz	imgvr_reps.fna	11.3764	5.7250	96.42	1.238	NA-NA	LOW	NA-NA	1	1.238	21/65	96.42	0	IMGVR_UViG_2660238025_000002|2660238025|2660253035|211314-227681
trimmed_read1_3001184953-DNA.fastq.gz	imgvr_reps.fna	9.8012	14.1183	95.06	1.067	94.18-96.90	1.067	0.42-1.60	1	1.704	27/198	93.77	47	IMGVR_UViG_2603879669_000002|2603879669|2603885663|209290-256141
trimmed_read1_3001184953-DNA.fastq.gz	imgvr_reps.fna	9.1886	9.1405	98.46	1.000	97.52-99.50	1.000	0.61-1.66	1	1.462	52/133	97.02	1	IMGVR_UViG_638276135_000001|638276135|638275665
trimmed_read1_3001184953-DNA.fastq.gz	imgvr_reps.fna	5.9281	8.3365	97.75	0.645	96.26-99.37	0.645	0.33-1.15	1	1.714	49/209	95.43	17	IMGVR_UViG_2687453279_000006|2687453279|2687453776|2226679-2272417
trimmed_read1_3001184953-DNA.fastq.gz	imgvr_reps.fna	5.5132	3.4279	98.82	0.600	97.31-100.84	0.600	0.26-1.14	1	1.448	29/93	96.31	0	IMGVR_UViG_2937915319_000002|2937915319|2937915366
trimmed_read1_3001184953-DNA.fastq.gz	imgvr_reps.fna	3.8286	5.8062	97.05	0.417	94.92-99.07	0.417	0.20-1.00	1	1.172	29/215	93.74	0	IMGVR_UViG_2713897248_000001|2713897248|2713957119|217017-266342
trimmed_read1_3001184953-DNA.fastq.gz	imgvr_reps.fna	3.5004	1.3919	100.00	0.381	NA-NA	0.381	NA-NA	1	1.231	26/69	96.90	0	IMGVR_UViG_2529292928_000014|2529292928|2529369262
trimmed_read1_3001184953-DNA.fastq.gz	imgvr_reps.fna	3.1685	4.4242	99.18	0.345	97.16-100.75	0.345	0.19-0.67	1	1.614	44/195	95.31	3	IMGVR_UViG_2590828196_000002|2590828196|2590840363|17110-62525
trimmed_read1_3001184953-DNA.fastq.gz	imgvr_reps.fna	2.8714	3.0618	100.00	0.312	98.13-102.41	0.312	0.16-0.62	1	1.275	40/134	96.18	0	IMGVR_UViG_2740892337_000001|2740892337|2740975272
trimmed_read1_3001184953-DNA.fastq.gz	imgvr_reps.fna	2.5060	2.6305	98.45	0.273	NA-NA	0.273	NA-NA	1	1.120	25/170	94.00	0	IMGVR_UViG_2974590601_000001|2974590601|2974590601
trimmed_read1_3001184953-DNA.fastq.gz	imgvr_reps.fna	2.0419	2.3878	99.78	0.222	95.92-100.56	0.222	0.17-0.60	1	1.219	32/172	94.72	0	IMGVR_UViG_2690316024_000005|2690316024|2690330571|2-38036
