Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/030/305/GCF_003030305.1_genomic.fna.gz	95.90	0.199	95.11-96.52	0.199	0.16-0.26	1	1.098	521/10561	90.75	NZ_CP023676.1 Cutibacterium acnes strain ATCC 6919 chromosome, complete genome
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/028/621/715/GCF_028621715.1_genomic.fna.gz	95.39	0.124	94.34-96.40	0.124	0.08-0.17	1	1.058	361/13401	89.00	NZ_CP117466.1 Paracoccus marcusii strain MBLB0836 chromosome, complete genome
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/310/345/GCF_004310345.1_genomic.fna.gz	95.22	0.060	93.43-96.98	0.060	0.03-0.11	1	1.051	175/13826	86.85	NZ_SISK01000010.1 Paracoccus subflavus strain GY0581 NODE_10_length_112199_cov_88.805055, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/020/102/855/GCF_020102855.1_genomic.fna.gz	94.63	0.083	93.14-96.89	0.083	0.04-0.13	1	1.078	281/19529	87.21	NZ_JADHZD010000001.1 Nocardioides lacusdianchii strain JXJ CY 38 NODE_1, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/471/045/GCA_000471045.1_genomic.fna.gz	94.50	0.123	93.18-95.89	0.123	0.07-0.20	1	1.084	261/12965	88.16	KI301992.1 actinobacterium LLX17 genomic scaffold scaffold00001, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/017/310/035/GCF_017310035.1_genomic.fna.gz	93.72	0.100	92.17-95.78	0.100	0.05-0.16	1	1.063	255/20108	86.86	NZ_CP022296.1 Nocardioides sp. S5 chromosome, complete genome
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/008/001/015/GCF_008001015.1_genomic.fna.gz	93.16	0.090	91.44-95.08	0.090	0.04-0.16	1	1.070	142/14930	86.06	NZ_CP042862.1 Serinicoccus profundi strain CGMCC 4.5582 chromosome, complete genome
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/149/505/GCF_030149505.1_genomic.fna.gz	93.14	0.087	91.44-94.87	0.087	0.05-0.16	1	1.042	167/18064	85.98	NZ_JASBRN010000002.1 MAG: Nocardioides sp. isolate BWSM_104 k141_1005427, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/014/144/855/GCF_014144855.1_genomic.fna.gz	92.95	0.143	91.45-94.34	0.143	0.08-0.24	1	1.114	184/13351	87.09	NZ_JAALDN010000100.1 Dietzia maris strain IMV 195T NODE_100_lenth_1414, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/022/179/765/GCF_022179765.1_genomic.fna.gz	92.76	0.155	91.77-93.86	0.155	0.11-0.22	1	1.078	334/23866	87.13	NZ_BPRE01000001.1 Methylorubrum suomiense strain DSM 14458 entry1, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/221/005/GCF_900221005.1_genomic.fna.gz	92.05	0.228	91.15-92.94	0.228	0.16-0.32	1	1.160	312/19958	87.45	NZ_OBQI01000013.1 Blastococcus aggregatus strain DSM 4725, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/021/083/185/GCF_021083185.1_genomic.fna.gz	91.86	0.157	90.59-93.52	0.157	0.08-0.25	1	1.130	184/17624	86.32	NZ_JAIGQB010000001.1 Nocardioides furvisabuli strain JCM 13813 NODE_1, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/846/195/GCF_030846195.1_genomic.fna.gz	91.78	0.103	90.10-93.56	0.103	0.05-0.17	1	1.095	126/18440	85.14	NZ_JAVCWH010000010.1 Paracoccus sp. WLY502 Scaffolds_10_81137, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/009/701/885/GCA_009701885.1_genomic.fna.gz	91.54	0.167	90.31-93.26	0.167	0.09-0.27	1	1.099	171/17257	86.17	WLJH01000001.1 MAG: Actinobacteria bacterium isolate UFOp-RH-14apr17-516 RH-14apr17-516-c1, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/016/839/165/GCA_016839165.1_genomic.fna.gz	91.49	0.108	90.34-92.84	0.108	0.06-0.16	1	1.069	216/33139	85.01	CP069300.1 Bradyrhizobium sp. PSBB068 chromosome, complete genome
